id,effect,internal_name,introduction,name
143,"该特性的宝可梦使用接触类招式时，有30%的概率使目标陷入中毒状态。
- 连续招式每次攻击时都可能使目标中毒。
- 该特性使目标陷入中毒状态的概率不受彩虹状态影响。
- 该特性的触发在招式的附加效果之后单独判定。
例如，该特性的宝可梦使用毒击时，优先判定招式30%概率使目标中毒的附加效果。若未触发，则继续判定毒手特性。
- 若招式的附加效果造成的异常状态能被目标的道具治愈，该特性在目标道具治愈之后判定。
例如，该特性的宝可梦使用毒击时，目标因招式的附加效果陷入了中毒状态，此时目标的中毒状态因携带的木子果治愈，治愈后继续判定毒手特性。
- 拍落、小偷、渴望、虫咬或啄食的附加效果在该特性判定之后发动。若该特性引发的异常状态被目标携带的道具治愈，这些招式的附加效果不发动。
第六世代后，若毒手造成的异常状态被目标携带的道具治愈，拍落造成的伤害也会×1.5。
- 若拥有该特性的宝可梦使用流星闪冲或日光回旋下苍穹，则该特性能使拥有鳞粉、免疫或受叶子防守和花幕影响而不会陷入中毒状态的目标陷入中毒状态。
这种情况下，该特性仍然不能使拥有界限盾壳和绝对睡眠特性或因特性以外的效果不受中毒状态的目标陷入中毒状态。
- 若拥有该特性的宝可梦使用如狂舞挥打或广域破坏等能命中多个目标的接触类招式，则该特性的判定顺序为：己方的另一只宝可梦→对手视角中，对手左侧的对方宝可梦（己方视角中，己方右侧的对方宝可梦）→对手视角中，对手右侧的对方宝可梦（己方视角中，己方左侧的对方宝可梦）
- 若目标的特性为木乃伊、甩不掉的气味或游魂，该特性的判定会先于这些特性发动。
若拥有该特性的宝可梦使用能命中多个目标的接触类招式时，因己方宝可梦的上述特性而失去该特性，则令目标中毒的判定不会对对方宝可梦发动；因对方宝可梦的上述特性而失去该特性，令目标中毒的判定仍然会对对方宝可梦发动。
- 若目标的拥有特性粗糙皮肤、铁刺、诱爆、飞出的内在物、一口导弹或携带道具凸凸头盔、嘉珍果、雾莲果时，该特性令目标中毒的效果会在这些令攻击方损失ＨＰ的效果之前判定。
若拥有该特性的宝可梦使用能命中多个目标的接触类招式时，因己方宝可梦的上述效果而陷入昏厥状态，则令目标中毒的判定不会对对方宝可梦发动；因对方宝可梦的上述特性而陷入昏厥状态，令目标中毒的判定仍然会对对方宝可梦发动。
若目标因巴投、龙尾、逃脱按键或避难背包的效果切换下场，该特性令目标中毒的效果会在目标切换下场之前判定。
- 若拥有该特性的宝可梦因反作用力伤害的招式或生命宝珠陷入昏厥状态，该特性也会发动。
若招式对目标没有效果，该特性不会发动。
- 目标在ＨＰ为１时使用挺住，或因画皮或结冻头等效果影响令招式成功命中而造成的伤害为0时，该特性会发动。
若目标不会陷入中毒状态，该特性不会发动。
若目标处于替身状态，该特性不会发动。
若拥有该特性的宝可梦使用的招式不为接触类招式，该特性不会发动。
- 拥有该特性的宝可梦携带部位护具使用接触类招式时，该特性会发动。
- 拥有该特性的宝可梦携带拳击手套使用拳类招式时，该特性不会发动；使用非拳类招式的接触类招式时，该特性会发动。
若目标特性为鳞粉或携带了密探斗篷，该特性不会发动。
若场上存在特性为化学变化气体的宝可梦，该特性不会发动。
- 若拥有该特性的宝可梦使用能命中多个目标的接触类招式时，命中己方拥有化学变化气体的宝可梦令其陷入昏厥状态，则该特性会对对方宝可梦发动；命中对方拥有化学变化气体的宝可梦令其陷入昏厥状态，该特性仍然不会对剩余的对方宝可梦发动。",poison-touch,只通过接触就有可能让对手变为中毒状态。,毒手
144,"交换下场时，回复自身最大ＨＰ的1⁄3。
如果在特性受到影响时离场，先判定再生力特性的ＨＰ回复再恢复特性。因此，受无特性或特性互换等效果影响而失去再生力特性的宝可梦离场时不回复ＨＰ。通过特性互换或复制获得再生力特性后离场时回复ＨＰ。
再生力特性不受回复封锁影响。",regenerator,退回同行队伍后，ＨＰ会少量回复。,再生力
145,该特性的宝可梦的防御能力不会下降。,big-pecks,不会受到防御降低的效果。,健壮胸肌
146,"沙暴天气时，速度能力变为原来的2倍。
拥有该特性的宝可梦不受沙暴天气的伤害。",sand-rush,沙暴天气时，速度会提高。,拨沙
147,变化招式对该特性的宝可梦命中率减少为50%。如果原本的命中率已低于50%，则不会减少。,wonder-skin,成为不易受到变化招式攻击的身体。,奇迹皮肤
148,"如果其他所有宝可梦的行动都在自己之前，则自己使用的招式的威力提高30%。
如果其他所有宝可梦都是在本回合替换上场的，分析特性也能发动。",analytic,如果在最后使出招式，招式的威力会提高。,分析
149,"出场时幻化为同行宝可梦中最后一只有战斗能力的宝可梦的样子，受到攻击招式伤害时，消除幻觉效果。
- 此外，使用Ｚ招式后或失去幻觉特性，会消除幻觉效果。
- 处于幻觉状态中的宝可梦可以极巨化，同时不会消除幻觉效果，但幻化成苍响、藏玛然特及无极汰那时无法极巨化。
- 处于幻觉状态中的宝可梦可以太晶化，除了幻化为厄诡椪、太乐巴戈斯以外，不会消除幻觉效果。
幻化为厄诡椪、太乐巴戈斯时，就算太晶属性为该形态仅有的太晶属性（例如太晶属性为草，且幻化为碧草面具厄诡椪），一旦太晶化也会消除幻觉效果。
拥有这个特性的宝可梦变身时，会连形态、性别、称呼对象的昵称（仅限和朋友对战时）、根据体重而变化的出场落地特效、是否为异色以及精灵球的种类都一并变化，但唯独等级显示的是自身的等级。
- 替换宝可梦会导致同行宝可梦的排序改变，幻觉特性以交换前的宝可梦顺序决定。如果同行宝可梦中最后一只不处于昏厥状态的宝可梦是幻觉宝可梦本身，幻觉特性不会发动。
- 幻化仅改变外观和名称，实际属性相克、特性、招式与性别维持不变。但会影响训练家类型AI下达的对战命令。
对幻觉状态下的宝可梦使用变身会失败，对幻觉特性的宝可梦使用变身后，不会发动该特性，并无法发动变身者。
在《朱／紫》中，拥有该特性的野生宝可梦会幻化为附近的野生宝可梦的样子，并在进入对战后消除幻觉效果，以原本的形态显示。",illusion,假扮成同行队伍中的最后一只宝可梦出场，迷惑对手。,幻觉
150,"登场时以对手对应位置的宝可梦为目标进入变身状态。在皇家对战中，以该特性宝可梦的正对面位置为目标进入变身状态。
如果目标处于幻觉之下、变身状态、替身的保护下，或者目标位置没有宝可梦，则变身者特性发动失败。
如果目标是太晶化的厄诡椪，或是自身已太晶化且目标是厄诡椪，则变身者特性发动失败。
如果目标是太晶化的太乐巴戈斯，或是自身已太晶化且目标是太乐巴戈斯，则变身者特性发动失败。",imposter,变身为当前面对的宝可梦。,变身者
151,"该特性的宝可梦不受对方的反射壁、光墙、神秘守护、白雾、替身和极光幕状态影响。
如果使用的招式是变身或者自由落体，仍然不能穿透替身。",infiltrator,可以穿透对手的壁障或替身进行攻击。,穿透
152,"受到接触类招式攻击时，攻击方的特性变为木乃伊。
如果该接触类招式是连续招式，在第一下攻击后攻击方的特性会变为木乃伊，并且与增减招式伤害无关的特性效果在攻击结束前仍旧存在。
- 连续攻击特性变为木乃伊后，仍然会继续攻击最大次数。
- 亲子爱特性变为木乃伊后，仍然会继续攻击第二次，并且第二击的威力仍然是第一击的1⁄4。
- 胆量特性变为木乃伊后，如果使用的连续招式是一般属性或格斗属性，从第二下开始的攻击仍然能打中幽灵属性。
- 诸如毅力、大力士之类能增减招式伤害的特性变为木乃伊后，这类特性的效果会立刻消失。
如果拥有坚硬脑袋特性的宝可梦使用了反作用力伤害的招式，则仍然要受到反作用力伤害。
如果攻击方特性为甩不掉的气味或无法被覆盖的特性，如多属性、达摩模式、战斗切换、界限盾壳、鱼群、画皮、结冻头、牵绊变身、群聚变形、绝对睡眠、ＡＲ系统、一口导弹、人马一体、全能变身、发号施令、古代活性、夸克充能、绯红脉动、强子引擎等，则攻击方的特性不会变为木乃伊。",mummy,被对手接触到后，会将对手变为木乃伊。,木乃伊
153,"该特性的宝可梦打败任意一方的一只宝可梦后，自身攻击提升1级。
该特性的宝可梦使用接触类招式打败特性为木乃伊的宝可梦后，特性变为木乃伊，不触发自信过度的效果。",moxie,如果打倒对手，就会充满自信，攻击会提高。,自信过度
154,受到恶属性招式攻击时，自身攻击提升1级。该特性的宝可梦受到恶属性连续招式时，每一次攻击都能触发该特性。,justified,受到恶属性的招式攻击时，因为正义感，攻击会提高。,正义之心
155,"该特性的宝可梦受到恶属性、幽灵属性和虫属性属性招式攻击时，速度提升1级。对于恶属性、幽灵属性和虫属性连续招式，每次攻击都能触发该特性。
受到威吓影响，该特性的宝可梦速度提升1级。",rattled,受到恶属性、幽灵属性和虫属性的攻击或威吓时，会因胆怯而速度提高。,胆怯
156,自身在场时持续处于魔法反射状态，将对方以自身为目标的部分变化招式无效化，并反弹给招式的使用者。,magic-bounce,可以不受到由对手使出的变化招式影响，并将其反弹。,魔法镜
157,"具有该特性的宝可梦不受草属性招式的影响，当被草属性的招式击中时，提升1级攻击。
- 该特性只能令自身不受草属性招式的影响，不能将草属性招式的目标转移至自身。
- 该特性对草属性的变化招式有效。包括通过其他方式变为草属性的变化招式。
- 对于连续招式，只会触发1次特性效果。
- 触发该特性时，与没有效果相同，不会发动招式的追加效果。",sap-sipper,受到草属性的招式攻击时，不会受到伤害，而是攻击会提高。,食草
158,"该特性的宝可梦使用变化招式时优先度+1，包括变化招式的Ｚ招式。
受此特性影响的变化招式对对手的恶属性宝可梦无效。
- 对入场宝可梦生效的招式、影响天气的招式与戏法空间等招式并不直接影响场上的宝可梦，就算对手宝可梦是恶属性也可以正常作用。
- 恶作剧之心特性的宝可梦自身借助变化招式使出的攻击招式（如通过挥指、借助等）同样无法对恶属性宝可梦造成伤害。
如果使用的招式本身优先度为 0，经过恶作剧之心的加成后优先度为正，则可以被快速防守、精神场地、女王的威严等所抵挡。
恶属性的宝可梦受到以自身为目标的变化招式，仍能使用魔法反射或凭借魔法镜把恶作剧之心引起优先度增加的变化招式无效化，并反弹给招式的使用者，除非该使用魔法反射的宝可梦同是恶作剧之心特性的宝可梦且反弹的对象是恶属性宝可梦。",prankster,可以率先使出变化招式。,恶作剧之心
159,在沙暴天气下，该特性的宝可梦不受沙暴伤害，同时使用的岩石属性、钢属性、地面属性招式威力提升30%。,sand-force,沙暴天气时，岩石属性、地面属性和钢属性的招式威力会提高。,沙之力
160,"受到接触类招式攻击时对手会损失最大体力的1⁄8。
- 连续招式的每一击都会触发此特性。
- 有铁刺特性的宝可梦使用守住并被攻击方使用Ｚ招式攻击时，铁刺特性不会发动。",iron-barbs,用铁刺给予接触到自己的对手伤害。,铁刺
161,在ＨＰ不足一半时转变为达摩模式形态，替换、ＨＰ恢复至1⁄2以上或者战斗结束后形态恢复。如果进入战斗时ＨＰ不足一半，则会在开始战斗一回合后转变为达摩模式形态。,zen-mode,ＨＰ变为一半以下时，样子会改变。,达摩模式
162,"场上己方全部宝可梦的招式的命中率×1.1。
该特性不影响一击必杀招式的命中率。",victory-star,自己和同伴的命中率会提高。,胜利之星
163,"当拥有该特性的宝可梦登场时会出现提示：「[宝可梦的名字]正在释放炽焰气场！」
拥有该特性的宝可梦使出招式时能够使目标自身、目标同伴以及自身同伴的一部分特性失效。
当拥有该特性的宝可梦强制拉对手的备战宝可梦上场时，上场的备战宝可梦的特性不会对场上的毒菱、撒菱和黏黏网状态生效。
所有会被无效化的特性，都是在受到招式影响时能够发动的特性。
- 注1：涡轮火焰特性也会使避雷针和引水的强制选择目标效果失效。
- 注2：涡轮火焰特性能够使免疫、迟钝、干劲、不眠、柔软、我行我素、熔岩铠甲、水幕、热交换等特性失效而使得拥有这些特性的宝可梦暂时陷入对应的异常状态，但轮到拥有上述特性的宝可梦行动时，它们会立即发动特性治愈这些异常状态。
- 注3：涡轮火焰特性能够使同伴的花之礼、芳香幕、花幕、甜幕等特性失效。即使同伴拥有这些特性，拥有涡轮火焰特性的宝可梦在攻击时也会受到目标的黏滑、迷人之躯、咒术之躯和道具红线等的影响，并且不会因为花之礼而增加攻击。
- 金属防护、幻影防守、棱镜装甲、界限盾壳、绝对睡眠特性被设定为不会受到涡轮火焰特性影响，即使这些特性都是在受到招式影响时发动效果的。
- 同伴的胜利之星、蓄电池、能量点和钢之意志特性。
- 压迫感、妖精气场、暗黑气场、气场破坏等会对场上所有宝可梦产生作用的特性。
- 静电、孢子、火焰之躯、毒刺、迷人之躯、咒术之躯、木乃伊、粗糙皮肤、铁刺、不服输、好胜等在对方使用招式之后才发动的特性。",turboblaze,可以不受对手特性的干扰，向对手使出招式。,涡轮火焰
193,"与野生宝可梦对战中，该特性的宝可梦从高于1⁄2ＨＰ变为低于1⁄2时便会使自身退场，与训练家对战时则进行替换。
如果该特性的宝可梦ＨＰ已经低于1⁄2，即使受到伤害也不会触发特性，除非宝可梦的ＨＰ回复到1⁄2以上，并再次受到伤害变为低于1⁄2。
- 若该特性的宝可梦携带了能回复ＨＰ的树果，受到伤害后会先食用树果回复ＨＰ，再判定特性是否触发。
- 若该特性的宝可梦携带了贝壳之铃，对于特性是否发动的判定在回复ＨＰ的效果之前，因此如果在使出招式后自己的ＨＰ变为了1⁄2或以下，随后又因为贝壳之铃的效果回复ＨＰ至1⁄2以上，依然可以触发特性，此时就会以ＨＰ大于1⁄2的状态退场。
以下使ＨＰ变为低于1⁄2的情况，不会触发特性：
- 该特性的宝可梦因混乱而攻击自己；
- 对方宝可梦特性为强行，且使用带有追加效果的招式。
- 对方宝可梦使用连续招式，在连续攻击完成后才会触发特性。
- 与训练家对战时，除这只该特性的宝可梦外，队伍内宝可梦全部进入昏厥状态。
对该特性的宝可梦使用伏特替换、急速折返或快速折返，因而触发该宝可梦特性时，这类招式不会发动替换效果。
使用追打的同一回合，若该特性的宝可梦因触发特性而替换，则追打不会发动特殊效果。
踩影无法防止该特性效果",wimp-out,ＨＰ变为一半时，会慌慌张张逃走，退回同行队伍中。,跃跃欲逃
194,"与野生宝可梦对战中，该特性的宝可梦从高于1⁄2ＨＰ变为低于1⁄2时便会使自身退场，与训练家对战时则进行替换。
如果该特性的宝可梦ＨＰ已经低于1⁄2，即使受到伤害也不会触发特性，除非宝可梦的ＨＰ回复到1⁄2以上，并再次受到伤害变为低于1⁄2。
- 若该特性的宝可梦携带了能回复ＨＰ的树果，受到伤害后会先食用树果回复ＨＰ，再判定特性是否触发。
- 若该特性的宝可梦携带了贝壳之铃，对于特性是否发动的判定在回复ＨＰ的效果之前，因此如果在使出招式后自己的ＨＰ变为了1⁄2或以下，随后又因为贝壳之铃的效果回复ＨＰ至1⁄2以上，依然可以触发特性，此时就会以ＨＰ大于1⁄2的状态退场。
以下使ＨＰ变为低于1⁄2的情况，不会触发特性：
- 该特性的宝可梦因混乱而攻击自己；
- 对方宝可梦特性为强行，且使用带有追加效果的招式。
- 对方宝可梦使用连续招式，在连续攻击完成后才会触发特性。
- 与训练家对战时，除这只该特性的宝可梦外，队伍内宝可梦全部进入昏厥状态。
对该特性的宝可梦使用伏特替换、急速折返或快速折返，因而触发该宝可梦特性时，这类招式不会发动替换效果。
使用追打的同一回合，若该特性的宝可梦因触发特性而替换，则追打不会发动特殊效果。",emergency-exit,ＨＰ变为一半时，为了回避危险，会退回到同行队伍中。,危险回避
195,"受到水属性的招式攻击时，防御会提升2个等级。
若对方以遇水凝固的宝可梦为目标使用水属性连续招式，则每一击都会触发效果。",water-compaction,受到水属性的招式攻击时，防御会大幅提高。,遇水凝固
196,拥有该特性的宝可梦每次攻击中毒的目标时，都会击中要害。对拥有战斗盔甲和硬壳盔甲特性的宝可梦为目标使用招式则不会触发该特性。,merciless,攻击中毒状态的对手时，必定会击中要害。,不仁不义
164,"当拥有该特性的宝可梦登场时会出现提示：[宝可梦的名字]正在释放溅射气场！
拥有该特性的宝可梦使出招式时能够使目标自身、目标同伴以及自身同伴的一部分特性失效。
当拥有该特性的宝可梦强制拉对手的后备宝可梦上场时，上场的后备宝可梦的特性不会对场上的毒菱、撒菱和黏黏网状态生效。
所有会被无效化的特性，都是在受到招式影响时能够发动的特性。
- 注1：兆级电压特性也会使避雷针和引水的强制选择目标效果失效。
- 注2：兆级电压特性能够使免疫、迟钝、干劲、不眠、柔软、我行我素、熔岩铠甲、水幕、热交换等特性失效而使得拥有这些特性的宝可梦暂时陷入对应的异常状态，但轮到拥有上述特性的宝可梦行动时，它们会立即发动特性治愈这些异常状态。
- 注3：兆级电压特性能够使同伴的花之礼、芳香幕、花幕、甜幕等特性失效。即使同伴拥有这些特性，拥有兆级电压特性的宝可梦在攻击时也会受到目标的黏滑、迷人之躯、咒术之躯和道具红线等的影响，并且不会因为花之礼而增加攻击。
- 金属防护、幻影防守、棱镜装甲、界限盾壳、绝对睡眠特性被设定为不会受到兆级电压特性影响，即使这些特性都是在受到招式影响时发动效果的。
- 同伴的胜利之星、蓄电池、能量点和钢之意志特性。
- 压迫感、妖精气场、暗黑气场、气场破坏等会对场上所有宝可梦产生作用的特性。
- 静电、孢子、火焰之躯、毒刺、迷人之躯、咒术之躯、木乃伊、粗糙皮肤、铁刺、不服输、好胜等在对方使用招式之后才发动的特性。",teravolt,可以不受对手特性的干扰，向对手使出招式。,兆级电压
165,只要有拥有芳香幕特性的宝可梦在场，己方所有的宝可梦不会受到来自对方的心灵攻击类招式影响，并且不会陷入定身法状态及着迷状态。,aroma-veil,可以防住向自己和同伴发出的心灵攻击。,芳香幕
166,"存在花幕特性的宝可梦的一方，其所有的草属性宝可梦的能力变化将不会被对方的宝可梦降低，并且其所有的草属性宝可梦不会陷入异常状态。
可以防止瞌睡状态。已经处于瞌睡状态的宝可梦受到花幕保护后，在下个回合结束时仍会陷入睡眠状态。
不能防止剧毒宝珠、火焰宝珠造成的剧毒和灼伤状态，睡觉造成的睡眠状态和森林咒术造成的森林咒术状态。
花幕特性不能避免自身使用近身战、飞叶风暴、流星群等招式和碎裂铠甲、心情不定等特性造成的能力变化下降的效果。",flower-veil,我方的草属性宝可梦能力不会降低，也不会变为异常状态。,花幕
167,"该特性的宝可梦食用树果时可触发原本的效果，同时额外恢复1⁄3ＨＰ。若处于回复封锁时，无法恢复ＨＰ。
训练家从包包里拿出来使用的树果对该特性无效。",cheek-pouch,无论是哪种树果，食用后，ＨＰ都会回复。,颊囊
168,"自身的属性在使用招式之前变为所使用的招式的属性。转换属性的效果持续直到离开场地为止。每一次出场只能转换属性一次，需要替换后再次出场才能再次转换。对于两种属性的宝可梦，触发变幻自如时变为只有一种属性。该特性的宝可梦使用招式后，属性一致加成会以改变后的属性提升招式威力。
以下情况能触发变幻自如特性：
- 当招式没有命中或被守住时；
- 招式属性不固定时，例如觉醒力量，使用者的属性变为不固定属性招式的实际属性。
以下情况不能触发变幻自如特性：
- 挣扎；
- 预知未来或者破灭之愿时，包括使用回合和攻击回合；
- 太晶化的宝可梦使用招式时。
特殊情况：
- 保护色触发变幻自如特性时，使用者属性先变为一般属性，接着再根据场地改变属性。
- 使用合体招式时，如果该特性的宝可梦是最先使用的话，不会触发该特性。后手的话会触发。",protean,变为与自己使出的招式相同的属性。每次出场战斗仅生效一次。,变幻自如
169,"伤害计算中，此宝可梦的防御能力值×２。
- 此效果不是能力变化。受到防御能力值代替特防能力值的招式（如精神击破、精神冲击、神秘之剑等）进行伤害计算时，伤害计算中的防御也会×２。
- 不影响固定伤害类招式的伤害。不影响混乱的伤害。
- 不会提升扑击的伤害。",fur-coat,对手给予的物理招式的伤害会减半。,毛皮大衣
170,"当该特性的宝可梦攻击时可偷取对方的携带物品。该特性的宝可梦使用投掷、自然之恩、破灭之愿和预知未来时，当回合不会发动特性。
礼物和花粉团只有在造成伤害时发动特性。在魔术师特性发动前，烧净、虫咬、啄食、小偷、渴望和拍落会偷走或消耗道具。
当该特性的宝可梦携带宝石后，本回合消耗宝石时不会发动特性。但携带强力香草时，在消耗强力香草后会发动特性。
该特性的宝可梦使用连续招式时，最后一次攻击发动特性。如果发动魔术师特性的当回合，宝可梦由于凸凸头盔等原因昏厥时，不会偷取道具。
如果招式的追加效果使对手陷入了异常状态，同时对手又携带了能解除这种异常状态的树果的话，树果会先于魔术师特性发动导致其不会被偷取。
如果对携带了白色香草的对手使用诸如魔法火焰之类可以降低对方能力的招式，在对手的能力降低后，在道具发动效果前魔术师特性就会发动把道具夺取过来。
如果偷走的是生命宝珠或贝壳之铃，其削减或回复体力的效果会立刻发动。
对于木乃伊的宝可梦，攻击当回合会消除魔术师特性，无法偷取道具。
以下道具无法偷取：
- 邮件；
- 阿尔宙斯携带的石板；
- 盖诺赛克特携带的卡带；
- 银伴战兽携带的存储碟；
- 帝牙卢卡携带的大金刚宝玉；
- 帕路奇亚携带的大白宝玉；
- 骑拉帝纳携带的大白金宝玉；
- 固拉多携带的朱红色宝珠；
- 盖欧卡携带的靛蓝色宝珠；
- 能够超级进化的宝可梦携带的与自己对应的超级石；
- Ｚ纯晶；
- 苍响携带的腐朽的剑；
- 藏玛然特携带的腐朽的盾；
- 厄诡椪携带的面具。",magician,夺走被自己的招式击中的对手的道具。,魔术师
171,该特性的宝可梦免疫球和弹类招式的伤害。,bulletproof,可以防住对手的球和弹类招式。,防弹
172,"能力变化被对手降低时，每降低一种能力，特攻就会提升2级。
下列情况将触发此特性：
- 受到对手的招式影响导致能力变化降低（例如受到清除浓雾）
- 受到对手的特性影响导致能力变化降低（例如受到威吓）
- 踩到黏黏网导致速度降低
- 极巨团体战中神秘障壁被打破导致防御和特防降低，会触发两次
下列情况不能触发此特性：
- 由于招式的副作用导致能力变化降低（例如使用近身战）
- 双打对战中由队友使用招式导致能力变化降低（例如使用抛下狠话、糖浆炸弹、重踏）
- 由于道具的作用导致能力变化降低（例如发动客房服务）",competitive,如果被对手降低能力，特攻会大幅提高。,好胜
173,该特性的宝可梦使用啃咬类招式的威力上升50%。,strong-jaw,因为颚部强壮，啃咬类招式的威力会提高。,强壮之颚
174,"一般属性招式变为冰属性招式，且威力变为1.2倍。
觉醒力量、自然之恩、制裁光砾、高科技光炮、觉醒之舞和多属性攻击这些会改变属性的一般属性招式会先改变自身属性，然后承受冰冻皮肤特性的判定。因此只要这些招式的最终属性不是一般属性，就既不会变成冰属性，又不会被增幅威力。
具有该特性的宝可梦进入输电状态后，使出的一般属性招式会变为电属性且不会被提升威力。
被该特性转化为冰属性的招式不会因为等离子浴的效应变成电属性。
具有此特性的冰属性宝可梦使出的一般属性攻击招式具有属性一致加成，并且能消耗冰之宝石增加招式威力。",refrigerate,一般属性的招式会变为冰属性。威力会少量提高。,冰冻皮肤
175,"当拥有甜幕特性的宝可梦在场时，不让己方在场中的宝可梦进入瞌睡或睡眠状态。
已经处于瞌睡状态的宝可梦受到甜幕保护后，不会因为瞌睡而进入睡眠状态。",sweet-veil,自己和同伴的宝可梦不会变为睡眠状态。,甜幕
176,"坚盾剑怪使用攻击招式时会变为刀剑形态，当使用王者盾牌时变为盾牌形态，使用其余的变化招式，形态不会改变。若招式由梦话抽取到，形态也会改变。
战斗切换在自己使用招式前发动，该判定于一些可能导致无法行动的状态（如混乱、睡眠）之后。
战斗切换不能被特性互换交换，不受目标特性改变的招式和木乃伊特性的影响，也不能被扮演招式或复制特性复制。
使用招式变身或发动特性变身者获得战斗切换特性的宝可梦无法改变形态。",stance-change,如果使出攻击招式，会变为刀剑形态，如果使出招式“王者盾牌”，会变为盾牌形态。,战斗切换
177,"在ＨＰ全满时，对战中使用的飞行属性招式优先度+1。对原本优先度为正的招式及觉醒力量、自然之恩无效。
如果使用的招式本身优先度为0，经过疾风之翼的加成后优先度为正，则可以被快速防守所抵挡。
疾风之翼对Ｚ招式以及极巨招式有效。如果宝可梦发动该特性并使用极速俯冲轰烈撞、极巨飞冲时，目标正处于快速防守状态，攻击也能成功但伤害减少到原来的1⁄4。",gale-wings,ＨＰ全满时，飞行属性的招式可以率先使出。,疾风之翼
178,该特性的宝可梦所使用除治愈波动以外的波动和波导类招式的威力会提高50%，治愈波动的ＨＰ回复变为最大ＨＰ的3⁄4。,mega-launcher,波动和波导类招式的威力会提高。,超级发射器
179,当对战场地处于青草场地状态时，拥有草之毛皮特性的宝可梦的防御会提升50%。,grass-pelt,在青草场地时，防御会提高。,草之毛皮
180,"在双打对战或三打对战中，如果己方其他宝可梦消耗了其携带的道具，拥有共生特性的宝可梦会将自己的道具转移给它。
包括使用自然之恩和投掷产生的道具转移；包括啄食和虫咬产生的道具消耗。
对于No.36—No.52的树果，当受到伤害时，才能触发该特性。
如果在群聚对战或三打对战有多只该特性的宝可梦，共生特性会触发给速度较快的宝可梦。（在戏法空间下相同）
该特性无效的情况：
- 其他宝可梦使用了小偷等招式转移其道具，被烧净烧毁。
- 无法转移下列宝可梦的道具：
携带了Ｚ纯晶、超级石的宝可梦；
携带了朱红色宝珠的固拉多；
携带了靛蓝色宝珠的盖欧卡；
携带了卡带的盖诺赛克特；
携带了石板的阿尔宙斯；
携带了大金刚宝玉的帝牙卢卡；
携带了大白宝玉的帕路奇亚；
携带了大白金宝玉的骑拉帝纳；
携带了腐朽的剑的苍响；
携带了腐朽的盾的藏玛然特；
携带了面具的厄诡椪；
携带了存储碟的银伴战兽。",symbiosis,同伴使用道具时，会把自己持有的道具传递给同伴。,共生
181,使接触类招式的威力上升30%。,tough-claws,接触到对手的招式威力会提高。,硬爪
182,"自己使用的一般属性招式会变成妖精属性，且威力变为1.2倍。
觉醒力量、自然之恩、制裁光砾、高科技光炮、觉醒之舞和多属性攻击这些会改变属性的一般属性招式会先改变自身属性，然后承受妖精皮肤特性的判定。因此只要这些招式的最终属性不是一般属性，就既不会变成妖精属性，又不会被增幅威力。
具有该特性的宝可梦进入输电状态后，使出的一般属性招式会变为电属性且不会被提升威力。
被该特性转化为妖精属性的招式不会因为等离子浴的效应变成电属性。
Ｚ招式不受此特性影响。
极巨招式受此特性影响会将原本的极巨攻击改为极巨妖精，但是没有威力加成。
具有此特性的妖精属性宝可梦使出的一般属性攻击招式具有属性一致加成，并且能消耗妖精宝石增加招式威力。",pixilate,一般属性的招式会变为妖精属性。威力会少量提高。,妖精皮肤
183,"该特性的宝可梦受到接触攻击伤害后，则令攻击方速度降低1级。
接触类连续招式的每一击都会触发此特性。",gooey,对于用攻击接触到自己的对手，会降低其速度。,黏滑
184,"自己使用的一般属性招式变为飞行属性招式，且威力变为1.2倍。
觉醒力量、自然之恩、制裁光砾、高科技光炮、觉醒之舞和多属性攻击这些会改变属性的一般属性招式会先改变自身属性，然后承受飞行皮肤特性的判定。因此只要这些招式的最终属性不是一般属性，就既不会变成飞行属性，又不会被增幅威力。
具有该特性的宝可梦进入输电状态后，使出的一般属性招式会变为电属性且不会被提升威力。
被该特性转化为飞行属性的招式不会因为等离子浴的效应变成电属性。
具有此特性的飞行属性宝可梦使出的一般属性攻击招式具有属性一致加成，并且能消耗飞行宝石增加招式威力。",aerilate,一般属性的招式会变为飞行属性。威力会少量提高。,飞行皮肤
